item,total_sales,sales_share_pct,cumulative_share_pct,ABC_class,avg_monthly_sales,std_monthly_sales,cv,stability,segment
A,165520.0,28.64768128935335,28.64768128935335,A,7881.9047619047615,7088.345306944082,0.8993188221714943,Moderate,A-Moderate
B,159961.0,27.68554704402037,56.333228333373725,A,7617.190476190476,7590.876442276265,0.9965454410000035,Moderate,A-Moderate
C,124175.0,21.491818656992827,77.82504699036656,A,5913.0952380952385,5441.922977264212,0.9203171533927799,Moderate,A-Moderate
D,78987.0,13.670821665068592,91.49586865543515,B,3761.285714285714,3571.0655292623396,0.9494268185208848,Moderate,B-Moderate
G,24347.0,4.213902225422221,95.70977088085736,C,1159.3809523809523,1958.123093071283,1.688938471043535,Volatile,C-Volatile
F,10253.0,1.7745570097857655,97.48432789064313,C,488.23809523809524,553.1513269225615,1.1329540490952688,Volatile,C-Volatile
E,9509.0,1.6457878285431427,99.13011571918628,C,452.8095238095238,396.6774028158926,0.8760359090476123,Moderate,C-Moderate
H,5026.0,0.8698842808137381,100.00000000000001,C,239.33333333333334,258.81524942192516,1.0814007636013585,Volatile,C-Volatile
